,bus1,bus2,bus3,bus4,bus5,bus6,bus7
bus1,(1.4632899856029236-14.632899856029253j),(-1.4632899856029236+14.632899856029253j),0j,0j,0j,0j,0j
bus2,(-1.4632899856029236+14.632899856029253j),(37.84243502227267-127.11549635571923j),(-10.375478857191252+32.13788471419714j),(-25.93869714297813+80.34471178549283j),0j,0j,0j
bus3,0j,(-10.375478857191252+32.13788471419714j),(23.428359047037922-72.31024060694355j),0j,(-12.969348571489064+40.17235589274642j),0j,0j
bus4,0j,(-25.93869714297813+80.34471178549283j),0j,(46.43975882310447-143.4726996169515j),(-7.4110563265651805+22.955631938712244j),(-12.969348571489064+40.17235589274642j),0j
bus5,0j,0j,(-12.969348571489064+40.17235589274642j),(-7.4110563265651805+22.955631938712244j),(46.43975882310447-143.4726996169515j),(-25.93869714297813+80.34471178549283j),0j
bus6,0j,0j,0j,(-12.969348571489064+40.17235589274642j),(-25.93869714297813+80.34471178549283j),(40.54555212391969-139.4988916448084j),(-1.581818663880763+18.981823966569138j)
bus7,0j,0j,0j,0j,0j,(-1.581818663880763+18.981823966569138j),(1.581818663880763-18.981823966569138j)
